depth	Genotype_Concordance	Class
21.06	0.998791128	before beagle phasing
21.1	0.999218699	before beagle phasing
21.14	0.999057784	before beagle phasing
21.27	0.99957124	before beagle phasing
21.31	0.999546921	before beagle phasing
21.6	0.997943278	before beagle phasing
21.76	0.999211181	before beagle phasing
21.85	0.99958939	before beagle phasing
22.12	0.999182176	before beagle phasing
22.13	0.999507428	before beagle phasing
22.15	0.999462193	before beagle phasing
22.28	0.999356322	before beagle phasing
22.38	0.999599003	before beagle phasing
22.45	0.999199036	before beagle phasing
23.01	0.999621625	before beagle phasing
23.06	0.999570673	before beagle phasing
23.25	0.999545928	before beagle phasing
23.36	0.999628913	before beagle phasing
23.38	0.999571049	before beagle phasing
23.53	0.999686219	before beagle phasing
23.72	0.999689856	before beagle phasing
24.41	0.999651729	before beagle phasing
25.32	0.999469144	before beagle phasing
25.44	0.999499351	before beagle phasing
32.99	0.999854597	before beagle phasing
35.44	0.999816608	before beagle phasing
36.09	0.999897747	before beagle phasing
36.7	0.999819736	before beagle phasing
39.97	0.999880532	before beagle phasing
41.12	0.999878657	before beagle phasing
41.78	0.999907747	before beagle phasing
41.8	0.999859989	before beagle phasing
42.01	0.999865346	before beagle phasing
42.21	0.999835924	before beagle phasing
42.34	0.999838782	before beagle phasing
42.54	0.999813218	before beagle phasing
42.72	0.99987423	before beagle phasing
43.53	0.999880229	before beagle phasing
43.63	0.999865435	before beagle phasing
44.55	0.999126972	before beagle phasing
44.67	0.999872631	before beagle phasing
46.96	0.999864038	before beagle phasing
47.84	0.999851011	before beagle phasing
49.65	0.999861261	before beagle phasing
50.42	0.999878363	before beagle phasing
54.67	0.999822104	before beagle phasing
13.11	0.995114316	after beagle phasing
13.21	0.995898217	after beagle phasing
13.23	0.995167688	after beagle phasing
13.25	0.996257867	after beagle phasing
13.28	0.996773835	after beagle phasing
13.29	0.996664624	after beagle phasing
13.33	0.996648836	after beagle phasing
13.38	0.995801273	after beagle phasing
13.4	0.995832668	after beagle phasing
13.4	0.996746176	after beagle phasing
13.42	0.996946505	after beagle phasing
13.48	0.995751956	after beagle phasing
13.53	0.996007376	after beagle phasing
13.53	0.996677574	after beagle phasing
13.53	0.995564355	after beagle phasing
13.57	0.996659384	after beagle phasing
13.63	0.996242438	after beagle phasing
13.69	0.996416945	after beagle phasing
13.71	0.996953093	after beagle phasing
13.71	0.996409668	after beagle phasing
13.73	0.996616893	after beagle phasing
13.78	0.996168188	after beagle phasing
13.8	0.995977737	after beagle phasing
13.83	0.996402153	after beagle phasing
13.89	0.996719635	after beagle phasing
13.93	0.995938156	after beagle phasing
13.95	0.99585038	after beagle phasing
13.99	0.99695368	after beagle phasing
14.06	0.997123568	after beagle phasing
14.08	0.996579885	after beagle phasing
14.1	0.996004442	after beagle phasing
14.11	0.996690163	after beagle phasing
14.11	0.996564541	after beagle phasing
14.15	0.997376902	after beagle phasing
14.19	0.996451464	after beagle phasing
14.21	0.996360059	after beagle phasing
14.23	0.996899069	after beagle phasing
14.25	0.995875172	after beagle phasing
14.32	0.997149649	after beagle phasing
14.34	0.997118789	after beagle phasing
14.38	0.995928003	after beagle phasing
14.38	0.997264435	after beagle phasing
14.43	0.996585965	after beagle phasing
14.49	0.996920739	after beagle phasing
14.52	0.99714789	after beagle phasing
14.54	0.99741312	after beagle phasing
14.58	0.997139864	after beagle phasing
14.61	0.997177429	after beagle phasing
14.65	0.997459282	after beagle phasing
14.67	0.997762333	after beagle phasing
14.7	0.996160343	after beagle phasing
14.74	0.998000249	after beagle phasing
14.81	0.99746515	after beagle phasing
14.82	0.99708727	after beagle phasing
14.84	0.996881211	after beagle phasing
14.86	0.997543233	after beagle phasing
14.93	0.997729915	after beagle phasing
14.94	0.996894253	after beagle phasing
14.95	0.997828529	after beagle phasing
14.97	0.997662998	after beagle phasing
15.03	0.997718801	after beagle phasing
15.07	0.997824017	after beagle phasing
15.15	0.998069508	after beagle phasing
15.16	0.997714783	after beagle phasing
15.26	0.99809923	after beagle phasing
15.32	0.998102546	after beagle phasing
15.34	0.997916311	after beagle phasing
15.41	0.997565212	after beagle phasing
15.42	0.998124168	after beagle phasing
15.53	0.997756939	after beagle phasing
15.54	0.997793257	after beagle phasing
15.57	0.997606647	after beagle phasing
15.59	0.996382267	after beagle phasing
15.64	0.997565646	after beagle phasing
15.64	0.997876363	after beagle phasing
15.67	0.997667972	after beagle phasing
15.73	0.998211833	after beagle phasing
15.79	0.998326672	after beagle phasing
15.84	0.998319478	after beagle phasing
15.85	0.997619339	after beagle phasing
15.91	0.997560856	after beagle phasing
15.96	0.997788873	after beagle phasing
16	0.998231887	after beagle phasing
16.04	0.997965283	after beagle phasing
16.14	0.9981286	after beagle phasing
16.22	0.998447	after beagle phasing
16.33	0.997797333	after beagle phasing
16.41	0.998421619	after beagle phasing
16.51	0.99858001	after beagle phasing
16.62	0.997204356	after beagle phasing
16.65	0.99719225	after beagle phasing
16.67	0.998159534	after beagle phasing
16.72	0.998308245	after beagle phasing
16.83	0.998645045	after beagle phasing
16.84	0.99837911	after beagle phasing
16.96	0.998376327	after beagle phasing
17.03	0.998330099	after beagle phasing
17.03	0.998674684	after beagle phasing
17.11	0.998495435	after beagle phasing
17.15	0.998497353	after beagle phasing
17.22	0.998523633	after beagle phasing
17.25	0.998703222	after beagle phasing
17.32	0.9985831	after beagle phasing
17.35	0.998204359	after beagle phasing
17.38	0.998043002	after beagle phasing
17.44	0.998411934	after beagle phasing
17.45	0.998636672	after beagle phasing
17.57	0.998717735	after beagle phasing
17.59	0.998788069	after beagle phasing
17.59	0.998416994	after beagle phasing
17.61	0.997797307	after beagle phasing
17.66	0.998602403	after beagle phasing
17.79	0.998675161	after beagle phasing
17.88	0.998695058	after beagle phasing
17.93	0.998542701	after beagle phasing
17.94	0.998786759	after beagle phasing
18	0.998173753	after beagle phasing
18.01	0.998641595	after beagle phasing
18.04	0.998418879	after beagle phasing
18.15	0.999040518	after beagle phasing
18.16	0.998618739	after beagle phasing
18.35	0.998827195	after beagle phasing
18.4	0.998762238	after beagle phasing
18.47	0.999181105	after beagle phasing
18.6	0.998951627	after beagle phasing
18.64	0.998798294	after beagle phasing
18.67	0.998991355	after beagle phasing
18.72	0.999073611	after beagle phasing
