depth	Heterozygote_Discordance	Class
19.01	0.019026186	Pre-genotype refinement
19.09	0.019453201	Pre-genotype refinement
19.09	0.02025522	Pre-genotype refinement
19.22	0.019079188	Pre-genotype refinement
19.32	0.017719326	Pre-genotype refinement
19.4	0.038032185	Pre-genotype refinement
19.45	0.019938943	Pre-genotype refinement
19.59	0.018098546	Pre-genotype refinement
19.71	0.014276244	Pre-genotype refinement
19.73	0.017882155	Pre-genotype refinement
19.76	0.025252325	Pre-genotype refinement
19.88	0.016920842	Pre-genotype refinement
19.99	0.017657828	Pre-genotype refinement
20.01	0.022573737	Pre-genotype refinement
20.22	0.023043819	Pre-genotype refinement
20.38	0.014974602	Pre-genotype refinement
20.41	0.022880817	Pre-genotype refinement
20.42	0.012853445	Pre-genotype refinement
20.57	0.011310889	Pre-genotype refinement
20.64	0.015903685	Pre-genotype refinement
20.8	0.012021136	Pre-genotype refinement
20.93	0.011807981	Pre-genotype refinement
21.06	0.037039807	Pre-genotype refinement
21.1	0.017895454	Pre-genotype refinement
21.14	0.017584476	Pre-genotype refinement
21.27	0.010023146	Pre-genotype refinement
21.31	0.011286876	Pre-genotype refinement
21.6	0.017750311	Pre-genotype refinement
21.76	0.020159215	Pre-genotype refinement
21.85	0.00795203	Pre-genotype refinement
22.12	0.018526461	Pre-genotype refinement
22.13	0.008782246	Pre-genotype refinement
22.15	0.009881093	Pre-genotype refinement
22.28	0.011861569	Pre-genotype refinement
22.38	0.007894325	Pre-genotype refinement
22.45	0.020324972	Pre-genotype refinement
23.01	0.00858831	Pre-genotype refinement
23.06	0.009918271	Pre-genotype refinement
23.25	0.007313646	Pre-genotype refinement
23.36	0.006514203	Pre-genotype refinement
23.38	0.007065813	Pre-genotype refinement
23.53	0.005365785	Pre-genotype refinement
23.72	0.006976826	Pre-genotype refinement
24.41	0.005871331	Pre-genotype refinement
25.32	0.004365969	Pre-genotype refinement
25.44	0.006348065	Pre-genotype refinement
32.99	0.000666884	Pre-genotype refinement
35.44	0.000680488	Pre-genotype refinement
36.09	0.0002693	Pre-genotype refinement
36.7	0.000435525	Pre-genotype refinement
39.97	0.000203284	Pre-genotype refinement
41.12	0.0003564	Pre-genotype refinement
41.78	0.000401366	Pre-genotype refinement
41.8	0.000236672	Pre-genotype refinement
42.01	0.000249965	Pre-genotype refinement
42.21	0.00067935	Pre-genotype refinement
42.34	0.000397107	Pre-genotype refinement
42.54	0.000599688	Pre-genotype refinement
42.72	0.000154973	Pre-genotype refinement
43.53	0.000274666	Pre-genotype refinement
43.63	0.000147469	Pre-genotype refinement
44.55	0.000157836	Pre-genotype refinement
44.67	0.000299604	Pre-genotype refinement
46.96	0.000237467	Pre-genotype refinement
47.84	0.000381472	Pre-genotype refinement
49.65	0.000318803	Pre-genotype refinement
50.42	0.00018982	Pre-genotype refinement
54.67	0.000232291	Pre-genotype refinement
13.11	0.022109909	Post-genotype refinement
13.21	0.017386624	Post-genotype refinement
13.23	0.019242419	Post-genotype refinement
13.25	0.016238648	Post-genotype refinement
13.28	0.013696841	Post-genotype refinement
13.29	0.014226724	Post-genotype refinement
13.33	0.013960165	Post-genotype refinement
13.38	0.017892455	Post-genotype refinement
13.4	0.017534509	Post-genotype refinement
