Region	IBDseq
North	12.782118055555555
North	12.48913043478261
North	12.315
North	13.009101941747575
North	12.7546875
North	12.722222222222221
North	12.74872448979592
North	12.73828125
North	13.155833333333335
North	12.221398305084744
North	12.674065420560748
North	12.393357487922705
North	12.447222222222226
North	12.771440129449838
North	12.701736111111114
North	12.910493827160494
North	12.572845804988663
North	12.675057870370368
North	12.986111111111109
North	12.364171374764595
North	12.562305295950155
North	12.427130434782608
North	12.542591810890672
North	12.352826086956522
North	12.530434782608696
North	12.198402839396627
North	12.283333333333333
North	12.46527536231884
North	12.2756079587325
North	12.278098334010565
North	12.485436893203886
North	12.324000000000002
North	12.501111111111115
North	12.284489795918367
North	12.415833333333332
North	12.510266666666665
North	12.223728813559324
North	12.34429906542056
North	12.71480582524272
North	12.883495145631068
North	12.674063800277393
North	12.683656957928802
North	12.966666666666667
North	12.397893697548131
North	12.589873877143635
North	12.919444444444444
North	12.496938775510205
North	12.7375
North	12.926166666666667
North	12.272881355932205
North	12.472196261682244
North	12.71768707482993
North	12.940972222222221
North	13.088888888888887
North	12.408662900188325
North	12.600207684319837
North	12.727891156462587
North	12.950884353741493
North	12.38602559667935
North	12.572382223917606
North	12.955694444444443
North	12.327330508474574
North	12.53777258566978
North	12.497401129943507
North	12.761557632398755
North	12.200380167907493
South	12.526388888888887
South	12.098703703703706
South	11.908038720538721
South	11.229351851851852
South	11.867521367521366
South	11.887016908212562
South	11.849062918340024
South	11.612768308080806
South	12.545066666666667
South	11.784242424242425
South	11.5456
South	12.053948717948716
South	12.15895652173913
South	12.102939759036145
South	11.641272727272728
South	11.848888888888887
South	11.619022222222224
South	12.0591452991453
South	12.123884057971015
South	12.091485943775101
South	11.663257575757575
South	11.112929292929294
South	11.697746697746696
South	11.661923583662714
South	11.74698795180723
South	11.452823691460054
South	11.5217094017094
South	11.478898550724638
South	11.60867469879518
South	11.079621212121213
South	12.280267558528427
South	12.43466172381835
South	12.014568764568764
South	12.61959140911472
South	11.96986166007905
South	12.286555312157722
